country_id,sus_indicator_id,year,indicator_value,source_note
21,10,2018,9.4,WDI Data
21,11,2015,3.6,WDI Data
21,12,2017,74.4,WDI Data
22,1,2017,99.5,WDI Data
22,2,2017,97.1,WDI Data
22,3,2017,100.0,WDI Data
22,4,2015,9.2,WDI Data
22,5,2015,2.5,WDI Data
22,7,2016,12.8,WDI Data
22,8,2017,12.0,WDI Data
22,9,2014,8.3,WDI Data
22,10,2018,24.6,WDI Data
22,11,2015,2.0,WDI Data
22,12,2017,87.7,WDI Data
23,3,2017,98.3,WDI Data
23,4,2015,35.0,WDI Data
23,6,2014,10.8,WDI Data
23,7,2016,23.1,WDI Data
23,8,2017,-0.9,WDI Data
23,9,2014,1.4,WDI Data
23,10,2018,20.6,WDI Data
23,11,2015,33.1,WDI Data
23,12,2017,47.1,WDI Data
24,3,2017,43.1,WDI Data
24,4,2015,50.9,WDI Data
24,6,2014,61.5,WDI Data
24,7,2016,38.4,WDI Data
24,8,2017,-3.4,WDI Data
24,9,2014,0.6,WDI Data
24,10,2018,23.5,WDI Data
24,11,2015,1.1,WDI Data
24,12,2017,20.0,WDI Data
25,3,2017,100.0,WDI Data
25,4,2015,2.4,WDI Data
25,5,2015,0.2,WDI Data
25,7,2016,11.7,WDI Data
25,9,2014,8.8,WDI Data
25,10,2018,0.0,WDI Data
25,11,2015,6.5,WDI Data
25,12,2017,98.4,WDI Data
26,1,2017,36.2,WDI Data
26,3,2017,97.7,WDI Data
26,4,2015,86.9,WDI Data
26,7,2016,37.2,WDI Data
26,8,2017,23.3,WDI Data
26,9,2014,1.4,WDI Data
26,10,2018,48.0,WDI Data
26,11,2015,1.5,WDI Data
26,12,2017,48.1,WDI Data
27,2,2017,22.9,WDI Data
27,3,2017,91.8,WDI Data
27,4,2015,17.5,WDI Data
27,6,2014,43.5,WDI Data
27,7,2016,21.4,WDI Data
27,8,2017,0.8,WDI Data
27,9,2014,1.9,WDI Data
27,10,2018,30.9,WDI Data
27,11,2015,6.3,WDI Data
27,12,2017,43.8,WDI Data
29,1,2017,88.8,WDI Data
29,2,2017,21.6,WDI Data
29,3,2017,100.0,WDI Data
29,4,2015,40.8,WDI Data
29,5,2015,0.2,WDI Data
29,7,2016,27.6,WDI Data
29,9,2014,6.4,WDI Data
29,10,2018,1.4,WDI Data
29,11,2015,1.6,WDI Data
29,12,2017,64.9,WDI Data
30,3,2017,62.8,WDI Data
30,4,2015,28.9,WDI Data
30,5,2015,0.5,WDI Data
30,7,2016,23.6,WDI Data
30,8,2017,26.6,WDI Data
30,9,2014,3.4,WDI Data
30,10,2018,29.1,WDI Data
30,12,2017,47.0,WDI Data
32,2,2017,49.3,WDI Data
32,3,2017,100.0,WDI Data
32,4,2015,43.8,WDI Data
32,5,2015,1.3,WDI Data
32,6,2014,22.3,WDI Data
32,7,2016,12.7,WDI Data
32,8,2017,6.1,WDI Data
32,9,2014,2.6,WDI Data
32,10,2018,28.6,WDI Data
32,11,2015,28.4,WDI Data
32,12,2017,67.5,WDI Data
34,3,2017,100.0,WDI Data
34,4,2015,0.0,WDI Data
34,7,2016,5.9,WDI Data
34,8,2017,34.6,WDI Data
34,9,2014,22.2,WDI Data
34,10,2018,9.0,WDI Data
34,11,2015,0.5,WDI Data
34,12,2017,94.9,WDI Data
35,1,2017,96.9,WDI Data
35,2,2017,64.4,WDI Data
35,3,2017,100.0,WDI Data
35,4,2015,17.7,WDI Data
35,5,2015,1.0,WDI Data
35,7,2016,19.3,WDI Data
35,8,2017,14.8,WDI Data
35,9,2014,5.9,WDI Data
35,10,2018,28.3,WDI Data
35,11,2015,1.8,WDI Data
35,12,2017,63.4,WDI Data
36,3,2017,25.5,WDI Data
36,4,2015,74.2,WDI Data
36,5,2015,0.7,WDI Data
36,6,2014,65.8,WDI Data
36,7,2016,41.5,WDI Data
36,8,2017,-9.0,WDI Data
36,9,2014,0.2,WDI Data
36,10,2018,14.9,WDI Data
36,11,2015,0.6,WDI Data
36,12,2017,16.0,WDI Data
37,3,2017,9.3,WDI Data
37,4,2015,95.7,WDI Data
37,6,2014,57.9,WDI Data
37,7,2016,38.7,WDI Data
37,8,2017,-19.0,WDI Data
37,9,2014,0.0,WDI Data
37,10,2018,7.6,WDI Data
37,11,2015,4.5,WDI Data
37,12,2017,2.7,WDI Data
38,3,2017,92.9,WDI Data
38,4,2015,26.6,WDI Data
38,7,2016,33.4,WDI Data
38,8,2017,11.7,WDI Data
38,9,2014,0.9,WDI Data
38,10,2018,0.0,WDI Data
38,11,2015,8.6,WDI Data
38,12,2017,57.2,WDI Data
39,1,2017,25.8,WDI Data
39,3,2017,89.1,WDI Data
39,4,2015,64.9,WDI Data
39,5,2015,0.1,WDI Data
39,6,2014,55.1,WDI Data
39,7,2016,25.2,WDI Data
39,8,2017,13.1,WDI Data
39,9,2014,0.4,WDI Data
39,10,2018,20.6,WDI Data
39,12,2017,32.4,WDI Data
40,3,2017,61.4,WDI Data
40,4,2015,76.5,WDI Data
40,6,2014,37.8,WDI Data
40,7,2016,73.2,WDI Data
40,8,2017,4.5,WDI Data
40,9,2014,0.3,WDI Data
40,10,2018,10.4,WDI Data
40,11,2015,1.2,WDI Data
40,12,2017,23.2,WDI Data
41,1,2017,98.9,WDI Data
41,2,2017,82.3,WDI Data
41,3,2017,100.0,WDI Data
41,4,2015,22.0,WDI Data
41,5,2015,1.7,WDI Data
41,7,2016,6.5,WDI Data
41,8,2017,6.5,WDI Data
41,9,2014,15.2,WDI Data
41,10,2018,6.5,WDI Data
41,11,2015,1.7,WDI Data
41,12,2017,91.0,WDI Data
42,3,2017,100.0,WDI Data
42,4,2015,0.0,WDI Data
42,9,2014,8.9,WDI Data
42,10,2018,0.1,WDI Data
42,11,2015,8.4,WDI Data
42,12,2017,81.1,WDI Data
43,3,2017,30.0,WDI Data
43,4,2015,76.6,WDI Data
43,6,2014,93.3,WDI Data
43,7,2016,57.0,WDI Data
43,9,2014,0.1,WDI Data
43,10,2018,18.1,WDI Data
43,11,2015,19.8,WDI Data
43,12,2017,4.3,WDI Data
44,3,2017,10.9,WDI Data
44,4,2015,89.4,WDI Data
44,5,2015,0.3,WDI Data
44,6,2014,88.2,WDI Data
44,7,2016,64.8,WDI Data
44,9,2014,0.1,WDI Data
44,10,2018,20.4,WDI Data
44,12,2017,6.5,WDI Data
45,1,2017,98.6,WDI Data
45,2,2017,77.5,WDI Data
45,3,2017,100.0,WDI Data
45,4,2015,24.9,WDI Data
45,5,2015,0.4,WDI Data
45,7,2016,20.9,WDI Data
45,8,2017,3.6,WDI Data
45,9,2014,4.6,WDI Data
45,10,2018,27.0,WDI Data
45,11,2015,3.4,WDI Data
45,12,2017,82.3,WDI Data
46,2,2017,72.1,WDI Data
46,3,2017,100.0,WDI Data
46,4,2015,12.4,WDI Data
46,5,2015,2.1,WDI Data
46,6,2014,25.2,WDI Data
46,7,2016,52.2,WDI Data
46,8,2017,20.1,WDI Data
46,9,2014,7.5,WDI Data
46,10,2018,14.6,WDI Data
46,11,2015,0.7,WDI Data
46,12,2017,54.3,WDI Data
101,1,2017,100.0,WDI Data
101,2,2017,91.8,WDI Data
101,3,2017,100.0,WDI Data
101,4,2015,0.9,WDI Data
101,5,2015,0.8,WDI Data
101,9,2014,6.4,WDI Data
101,10,2018,48.9,WDI Data
101,11,2015,0.3,WDI Data
101,12,2017,89.4,WDI Data
132,1,2017,100.0,WDI Data
132,3,2017,100.0,WDI Data
132,4,2015,7.1,WDI Data
132,5,2015,0.1,WDI Data
132,9,2014,2.2,WDI Data
132,11,2015,0.2,WDI Data
132,12,2017,83.2,WDI Data
49,1,2017,73.2,WDI Data
49,2,2017,17.0,WDI Data
49,3,2017,99.6,WDI Data
49,4,2015,23.6,WDI Data
49,5,2015,0.3,WDI Data
